job_id,title,company,url,salary_raw,min_salary_mil,max_salary_mil,skills,benefits,posted_date,processed_at
1265031,Nhân Viên Tư Vấn Trả Góp Tại Cửa Hàng (Miền Trung),FE CREDIT,https://www.topcv.vn/brand/fecredit/tuyen-dung/nhan-vien-tu-van-tra-gop-tai-cua-hang-mien-trung-j1265031.html,Thoả thuận,,,"['Tư vấn trả góp', 'B2C', 'Không yêu cầu kinh nghi...']",[],2025-12-19,2025-12-23 13:11:26
1987066,Nhân Viên Kế Toán Thu Nhập 10 - 15 Triệu Tại Bắc Ninh,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI HẠT NHỰA PVC TECH VIỆT NAM,https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-thu-nhap-10-15-trieu-tai-bac-ninh/1987066.html,10 - 15 triệu,10.0,15.0,"['Kế toán nội bộ', 'Tài chính', 'Kế toán', '1 năm kinh...']",[],2025-12-18,2025-12-23 13:11:26
1984516,"Kế Toán Nội Bộ, Lương Từ 10tr, Làm Việc Tại Khu CNC Hòa Lạc, Hà Nội, Công Ty Sản Xuất Quà Tặng Doanh Nghiệp, Đi Làm Ngay",CÔNG TY TNHH LUNA AWARD VIET NAM,https://www.topcv.vn/viec-lam/ke-toan-noi-bo-luong-tu-10tr-lam-viec-tai-khu-cnc-hoa-lac-ha-noi-cong-ty-san-xuat-qua-tang-doanh-nghiep-di-lam-ngay/1984516.html,Từ 10 triệu,10.0,,"['Kế toán nội bộ', 'Kế toán', 'Sản xuất', 'Thương mại...']",[],2025-12-16,2025-12-23 13:11:26
1979303,Nhân Viên Thiết Kế Shopdrawing - Thu Nhập Đến 20 Triệu - Kinh Nghiệm Từ 1 Năm - Hà Nội,Công ty TNHH Tranh Minh Quân,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-shopdrawing-thu-nhap-den-20-trieu-kinh-nghiem-tu-1-nam-ha-noi/1979303.html,14 - 20 triệu,14.0,20.0,"['Chuyên môn Thiết kế và Kiến trúc khác', 'Thi...']",[],2025-12-16,2025-12-23 13:11:26
1987119,Nhân Viên Kinh Doanh/ Sales/ Tư Vấn Bất Động Sản - Thu Nhập Không Giới Hạn,CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN KPP,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sales-tu-van-bat-dong-san-thu-nhap-khong-gioi-han/1987119.html,100 - 300 triệu,100.0,300.0,['Sales bất động sản/Môi giới bất động sản'],[],2025-12-17,2025-12-23 13:11:26
1989040,Nhân Viên Tư Vấn Tuyển Sinh Du Học (Livestream) - Thu Nhập Upto 30 Triệu - Có Thể Phỏng Vấn Trước Tết Đi Làm Sau Tết,Công ty cổ phần Ico Euro,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-tuyen-sinh-du-hoc-livestream-thu-nhap-upto-30-trieu-co-the-phong-van-truoc-tet-di-lam-sau-tet/1989040.html,20 - 30 triệu,20.0,30.0,"['Tư vấn du học/định cư', 'Online Sales', 'B2B', 'B2C', 'C...']",[],2025-12-19,2025-12-23 13:11:26
1988804,Nhân Viên Điều Hành Sản Xuất,CÔNG TY CỔ PHẦN GIA CÔNG CƠ KHÍ PROSIMEX,https://www.topcv.vn/viec-lam/nhan-vien-dieu-hanh-san-xuat/1988804.html,10 - 12 triệu,10.0,12.0,"['Kế hoạch sản xuất', 'Cơ khí / Tự động hóa', '2 n...']",[],2025-12-19,2025-12-23 13:11:26
1984887,Kế Toán Tổng Hợp - Có Từ 1 Năm Kinh Nghiệm [Cầu Giấy - Hà Nội],CÔNG TY TNHH DU LỊCH VICTORIA,https://www.topcv.vn/viec-lam/ke-toan-tong-hop-co-tu-1-nam-kinh-nghiem-cau-giay-ha-noi/1984887.html,Thoả thuận,,,"['Kế toán tổng hợp', 'Kế toán', '1 năm kinh nghiệm']",[],2025-12-16,2025-12-23 13:11:26
1972504,Kỹ Sư Sản Xuất (Thiết Lập Điều Kiện Máy Ép) - Lương Đến 30 Triệu - Làm Việc Thứ 2 Đến Thứ 6,Công ty TNHh Ohara Plastics Việt Nam,https://www.topcv.vn/viec-lam/ky-su-san-xuat-thiet-lap-dieu-kien-may-ep-luong-den-30-trieu-lam-viec-thu-2-den-thu-6/1972504.html,20 - 30 triệu,20.0,30.0,"['Kỹ sư lập trình máy', 'Sản xuất', 'Tu...']",['Nghỉ thứ 7'],2025-12-16,2025-12-23 13:11:26
1984037,Nhân Viên Kế Toán Kho  - Yêu Cầu 1 Năm Kinh Nghiệm [Đi Làm Ngay Tại Vincom Bà Triệu] -,CÔNG TY CỔ PHẦN ĐẦU TƯ ẨM THỰC MẶT TRỜI MỚI,https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-kho-yeu-cau-1-nam-kinh-nghiem-di-lam-ngay-tai-vincom-ba-trieu/1984037.html,8 - 9 triệu,8.0,9.0,"['Kế toán khác', 'Tài chính', '1 năm kinh nghiệm', 'Ca...']",[],2025-12-16,2025-12-23 13:11:26
1990192,Cán Bộ QC/QS Công Trình,CÔNG TY CỔ PHẦN XÂY DỰNG NỀN MÓNG LONG GIANG,https://www.topcv.vn/viec-lam/can-bo-qc-qs-cong-trinh/1990192.html,Thoả thuận,,,"['Nhân viên hồ sơ xây dựng', 'Xây dựng', 'Dưới 1 n...']",[],2025-12-19,2025-12-23 13:11:26
1990453,Nhân Viên Kinh Doanh/ Tư Vấn/ Sales Bất Động Sản Hoa Hồng 50 Triệu/1 Sản Phẩm + Hỗ Trợ Data Khách Hàng + Không Yêu Cầu Kinh Nghiệm + Đi Làm Ngay Tại HCM,Công ty TNHH dịch vụ BĐS Lạc Hồng MEKONG,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-sales-bat-dong-san-hoa-hong-50-trieu-1-san-pham-ho-tro-data-khach-hang-khong-yeu-cau-kinh-nghiem-di-lam-ngay-tai-hcm/1990453.html,50 - 100 triệu,50.0,100.0,['Sales bất động sản/Môi giới bất động sản'],[],2025-12-19,2025-12-23 13:11:26
1990338,Trưởng Nhóm Chăm Sóc Khách Hàng (Customer Service Team Leader) – Dự Án Shopee CS,CÔNG TY CỔ PHẦN BPO MẮT BÃO,https://www.topcv.vn/brand/matbao/tuyen-dung/truong-nhom-cham-soc-khach-hang-customer-service-team-leader-du-an-shopee-cs-j1990338.html,12 - 15 triệu,12.0,15.0,"['1 năm kinh nghiệm', 'Trun...']",['Chăm sóc khách hàng'],2025-12-19,2025-12-23 13:11:26
